"INDIVIDUALS"	"STRATA"
"133"	"coclRUPs_011-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"134"	"coclRUPs_012-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"135"	"coclRUPs_013-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"136"	"coclRUPs_014-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"137"	"coclRUPs_016-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"138"	"coclRUPs_021-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"139"	"coclRUPs_022-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"140"	"coclRUPs_022-20_replicat_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"141"	"coclRUPs_023-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"142"	"coclRUPs_023-20_replicat_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"143"	"coclRUPs_024-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"144"	"coclRUPs_024-20_replicat_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"145"	"coclRUPs_026-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"146"	"coclRUPs_028-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"147"	"coclRUPs_029-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"148"	"coclRUPs_033-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"149"	"coclRUPs_040-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"150"	"coclUMIx_01-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"151"	"coclUMIx_02-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"152"	"coclUMIx_03-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"153"	"coclUMIx_04-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"154"	"coclUMIx_05-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"155"	"coclUMIx_06-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"156"	"coclUMIx_07-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"157"	"coclUMIx_08-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"158"	"coclUMIx_10-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"159"	"coclUMIx_11-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"160"	"coclUMIx_12-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"161"	"coclUMIx_13-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"162"	"coclUMIx_14-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"163"	"coclUMIx_15-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"164"	"coclUMIx_16-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"165"	"coclUMIx_17-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"166"	"coclUMIx_19-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"167"	"coclUMIx_20-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"168"	"coclUMIx_21-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"169"	"coclUMIx_22-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"170"	"coclUMIx_23-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"171"	"coclUMIx_24-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"172"	"coclUMIx_25-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"173"	"coclWHAm_4755-22_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"174"	"coclWHAm_4766-22_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"175"	"coclWHAm_9055-22_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"176"	"coclWHAm_9058-22_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"177"	"coclWHAm_9063-22_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"178"	"coclWHAm_9065-22_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"179"	"coclWHAm_9070-22_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"180"	"coclWHAm_9071-22_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"181"	"coclWHAm_9077-22_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"182"	"coclWHAm_9088-22_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"183"	"coclWHAm_9166-22_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"184"	"coclWHAm_9174-22_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"185"	"coclWHAm_9235-22_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"186"	"coclWHAm_9242-22_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"187"	"coclWHAm_9246-22_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"188"	"coclWHAm_9326-22_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"189"	"coclWHAm_9327-22_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"190"	"coclWHAm_9331-22_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"191"	"coclWHAm_9333-22_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"192"	"coclWHAm_9336-22_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"193"	"coclWHAm_9337-22_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"194"	"coclWHAm_9338-22_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"195"	"coclWHAm_9339-22_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"196"	"coclWHAm_9340-22_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"197"	"coclWHAm_9395-22_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
